Date,Time,Transaction,Item
10/1/2020,13:32:44,1,PVD
9/1/2020,9:41:38,2,GAS
9/1/2020,9:26:14,2,GAS
7/1/2020,10:26:41,3,POW
3/1/2020,9:17:58,4,GAS
2/1/2020,14:44:18,5,VCI
27/12/2019,14:26:08,6,PVD
27/12/2019,14:10:58,6,VCI
27/12/2019,13:55:48,6,POW
23/12/2019,14:19:59,7,VCI
17/12/2019,9:14:48,8,SCR
17/12/2019,9:14:41,8,SCR
16/12/2019,10:52:26,9,GAS
12/12/2019,14:09:51,10,EVE
10/12/2019,13:32:34,11,PVD
9/12/2019,9:14:13,12,PVD
9/12/2019,9:14:13,12,PVD
5/12/2019,9:51:37,13,VCI
3/12/2019,10:44:46,14,VCI
2/12/2019,14:44:41,15,CTG
29/11/2019,14:44:12,16,VCI
28/11/2019,14:43:27,17,CTG
28/11/2019,14:08:28,17,TCM
25/11/2019,10:20:50,18,FRT
21/11/2019,9:35:48,19,EVE
19/11/2019,14:44:39,20,TLG
18/11/2019,10:40:30,21,FRT
18/11/2019,10:40:30,21,FRT
18/11/2019,10:40:04,21,FRT
14/11/2019,9:24:37,22,PVD
13/11/2019,9:39:39,23,FRT
12/11/2019,10:33:33,24,CSM
12/11/2019,10:33:14,24,CSM
12/11/2019,10:33:04,24,CSM
8/11/2019,9:59:05,25,SAM
7/11/2019,9:37:52,26,FRT
6/11/2019,13:42:14,27,HBC
6/11/2019,9:40:53,27,TLG
5/11/2019,10:18:54,28,PVD
5/11/2019,9:46:53,28,FRT
4/11/2019,10:12:39,29,EVE
4/11/2019,9:39:31,29,SCR
4/11/2019,9:39:21,29,SCR
4/11/2019,9:16:11,29,PVD
1/11/2019,9:19:23,30,TLG
1/11/2019,9:18:01,30,TLG
31/10/2019,14:20:04,31,POW
31/10/2019,13:25:13,31,POW
30/10/2019,10:48:24,32,SCR
30/10/2019,10:47:32,32,SCR
24/10/2019,10:05:12,33,POW
22/10/2019,14:23:38,34,HPG
17/10/2019,9:48:51,35,TCM
15/10/2019,14:29:37,36,TCM
15/10/2019,13:41:52,36,TCM
15/10/2019,13:41:52,36,TCM
15/10/2019,13:40:45,36,TCM
15/10/2019,10:47:45,36,HSG
10/10/2019,9:50:52,37,PVD
8/10/2019,14:17:29,38,STB
7/10/2019,9:24:30,39,PVD
2/10/2019,14:18:07,40,PVD
2/10/2019,10:08:27,40,TCM
2/10/2019,9:04:36,40,TLG
1/10/2019,9:36:18,41,TLG
1/10/2019,9:04:22,41,CSM
30/09/2019,9:48:45,42,TCM
30/09/2019,9:23:58,42,CSM
27/09/2019,13:55:29,43,EVE
23/09/2019,13:38:38,44,TCM
20/09/2019,13:53:35,45,HSG
19/09/2019,9:47:54,46,TCM
19/09/2019,9:43:36,46,TCM
18/09/2019,9:39:35,47,HSG
17/09/2019,10:08:38,48,HSG
16/09/2019,13:09:46,49,SHB
12/9/2019,9:57:11,50,TCM
12/9/2019,9:57:07,50,TCM
12/9/2019,9:55:42,50,TCM
10/9/2019,9:41:53,51,STB
6/9/2019,14:44:25,52,EVE
5/9/2019,9:24:52,53,PVD
4/9/2019,14:44:45,54,STB
4/9/2019,13:35:18,54,HSG
4/9/2019,13:34:56,54,HSG
4/9/2019,9:31:04,54,PVD
29/08/2019,14:44:27,55,STB
29/08/2019,14:43:04,55,HSG
15/08/2019,14:44:37,56,DQC
15/08/2019,14:44:14,56,DQC
14/08/2019,9:51:53,57,HSG
14/08/2019,9:43:34,57,POW
12/8/2019,14:44:44,58,DQC
8/8/2019,14:44:55,59,EVE
7/8/2019,14:44:42,60,DXG
6/8/2019,13:55:54,61,STB
2/8/2019,14:23:39,62,STB
2/8/2019,11:28:39,62,STB
1/8/2019,14:44:26,63,EVE
1/8/2019,14:44:14,63,EVE
1/8/2019,10:51:29,63,LHG
1/8/2019,10:50:30,63,LHG
31/07/2019,14:44:27,64,DQC
31/07/2019,14:44:14,64,DQC
31/07/2019,13:09:27,64,LHG
30/07/2019,10:25:05,65,DQC
30/07/2019,10:05:43,65,DQC
30/07/2019,9:23:18,65,DQC
29/07/2019,14:43:33,66,STB
29/07/2019,10:43:21,66,TLG
25/07/2019,14:07:33,67,LHG
25/07/2019,10:59:32,67,LHG
24/07/2019,14:16:04,68,LHG
