Ngày,"CTR (Tất cả)","Tần suất","Tương tác với Trang","Lượt phát video trong tối thiểu 3 giây","Cảm xúc về bài viết","CPC (Chi phí trên mỗi lượt click vào liên kết)","Bắt đầu báo cáo","Kết thúc báo cáo"
2019-11-13,1.13528855,1.0868894601542,137,134,2,,2019-11-13,2019-11-13
2019-11-12,1.79434092,1.5993377483444,651,605,17,22314.33333333,2019-11-12,2019-11-12
2019-11-11,1.67218543,1.5753781950965,391,360,13,29655.75,2019-11-11,2019-11-11
2019-11-10,1.9033675,1.571146894512,680,627,12,26327.84375,2019-11-10,2019-11-10
2019-11-09,2.22351121,1.4705715098095,962,893,22,21616.35714286,2019-11-09,2019-11-09
2019-11-08,2.84240688,1.5221563154222,886,797,26,13075.24137931,2019-11-08,2019-11-08
2019-11-05,2.12765957,1.0483271375465,215,213,2,,2019-11-05,2019-11-05
2019-11-04,0.42643923,1.0610859728507,281,281,,,2019-11-04,2019-11-04
2019-11-03,1.39230139,1.1150684931507,308,303,1,6484.25,2019-11-03,2019-11-03
2019-11-02,2.25303293,1.2750100441945,1014,962,8,3362.5,2019-11-02,2019-11-02
2019-11-01,2.68426516,1.1459891230455,1225,1169,8,3348.89130435,2019-11-01,2019-11-01
2019-10-31,2.09406681,1.2242115971516,849,802,6,3795.91891892,2019-10-31,2019-10-31
2019-10-30,2.00840729,1.1898851426454,734,689,2,3214.30952381,2019-10-30,2019-10-30
2019-10-29,4.24901186,1.0253292806484,477,477,,,2019-10-29,2019-10-29
2019-10-28,4.01146132,1.0086705202312,126,126,,,2019-10-28,2019-10-28
2019-10-18,1.62337662,1.0309623430962,53,38,,2097.73333333,2019-10-18,2019-10-18
2019-10-14,2.74695288,1.0648973266176,617,553,6,4032.01818182,2019-10-14,2019-10-14
2019-10-13,2.33165829,1.3740924873737,3170,2760,39,3633.8356546,2019-10-13,2019-10-13
2019-10-12,2.2049766,1.3251714005877,3040,2679,35,3924.88679245,2019-10-12,2019-10-12
2019-10-11,2.87498479,1.3734127868122,2870,2479,48,3780.46084337,2019-10-11,2019-10-11
2019-10-10,3.18626235,1.2804397559736,2047,1686,57,3265.04467354,2019-10-10,2019-10-10
2019-10-09,2.53111335,1.3625114573786,960,737,5,1399.74193548,2019-10-09,2019-10-09
2019-10-08,2.85148515,1.252977371973,1004,762,10,1267.73362445,2019-10-08,2019-10-08
2019-10-07,1.72610015,1.025281991443,370,306,3,2013.45,2019-10-07,2019-10-07
2019-10-02,0.67114094,1.0758122743682,18,16,,5637.5,2019-10-02,2019-10-02
2019-10-01,1.54689917,1.5911837100022,407,333,3,2830.97183099,2019-10-01,2019-10-01
2019-09-30,1.33287372,1.4780910326087,417,352,1,3128.359375,2019-09-30,2019-09-30
2019-09-12,1.54373928,1.0398335315101,121,113,1,8990,2019-09-12,2019-09-12
2019-09-11,1.45835121,1.5490000664408,1129,1065,17,19061.1627907,2019-09-11,2019-09-11
2019-09-10,1.6575581,1.4379101899827,1062,983,26,11901.35294118,2019-09-10,2019-09-10
2019-09-09,1.79454734,1.3802794537949,1111,1036,15,18495.75438596,2019-09-09,2019-09-09
2019-09-08,2.0428579,1.3932658450704,1375,1268,34,15772.24637681,2019-09-08,2019-09-08
2019-09-07,2.54325423,1.4175750536097,2115,1828,62,7113.22748815,2019-09-07,2019-09-07
2019-09-06,1.85814058,1.3482204561161,414,272,7,3106.26515152,2019-09-06,2019-09-06
2019-08-21,2.22071153,1.4374592833876,262,176,22,12067.14035088,2019-08-21,2019-08-21
2019-08-20,2.41877545,1.4018576544315,561,470,27,16178.42622951,2019-08-20,2019-08-20
2019-08-19,2.33204529,1.6019765421373,575,469,41,21488.85714286,2019-08-19,2019-08-19
2019-08-18,2.82412368,1.4339332748025,779,673,37,15508.29850746,2019-08-18,2019-08-18
2019-08-17,2.90131705,1.4228680065182,596,503,21,13980.19117647,2019-08-17,2019-08-17
2019-08-16,3.49474858,1.4678035470668,590,460,50,13746.33802817,2019-08-16,2019-08-16
2019-08-15,4.3578388,1.2333406161241,375,290,35,11253.93181818,2019-08-15,2019-08-15
2019-08-11,3.5061263,1.3700929752066,753,665,17,14171.51612903,2019-08-11,2019-08-11
2019-08-10,4.02392605,1.1691036236491,496,429,18,13426.18181818,2019-08-10,2019-08-10
2019-08-05,1.67682927,1.1549295774648,77,71,3,15464.33333333,2019-08-05,2019-08-05
2019-08-04,2.3858214,1.2801047120419,489,451,8,16067.07142857,2019-08-04,2019-08-04
2019-08-03,2.15426043,1.2646558015081,575,531,9,17212.21875,2019-08-03,2019-08-03
2019-08-02,2.85714286,1.3291139240506,751,677,28,13140.66666667,2019-08-02,2019-08-02
2019-08-01,2.79061172,1.3307919331038,680,616,15,12504.1627907,2019-08-01,2019-08-01
2019-07-31,2.48538012,1.4093406593407,509,455,17,20383.64705882,2019-07-31,2019-07-31
2019-07-30,2.78790731,1.4282594086022,700,617,16,12938.92063492,2019-07-30,2019-07-30
2019-07-29,2.78290688,1.4631416441528,841,766,26,16433.40909091,2019-07-29,2019-07-29
2019-07-28,3.48803965,1.4894251242016,1393,1258,50,12283.19512195,2019-07-28,2019-07-28
2019-07-27,3.52774689,1.4024666855685,1382,1227,44,9513.93269231,2019-07-27,2019-07-27
2019-07-26,3.7185243,1.4918462434479,1428,1265,50,10353.27,2019-07-26,2019-07-26
2019-07-25,5.92736548,1.4762417070109,1368,1197,54,7691.92727273,2019-07-25,2019-07-25
2019-07-23,1.2749004,1.2610530546624,684,642,14,41706.81481481,2019-07-23,2019-07-23
2019-07-22,1.81084057,1.2593220338983,907,826,30,24087.87234043,2019-07-22,2019-07-22
2019-07-21,2.84797433,1.3066037735849,293,262,15,19047.73333333,2019-07-21,2019-07-21
2019-07-20,3.08900524,1.2298776561494,229,201,11,15886.6875,2019-07-20,2019-07-20
2019-07-19,3.59884837,1.327811404906,469,422,29,30584.23529412,2019-07-19,2019-07-19
2019-05-13,1.90519052,1.2784810126582,774,741,11,50517.85714286,2019-05-13,2019-05-13
2019-05-12,2.03243085,1.4127708095781,1580,1479,25,28643.17333333,2019-05-12,2019-05-12
2019-05-11,2.26806611,1.3022780832679,995,919,27,26257.4893617,2019-05-11,2019-05-11
2019-05-10,2.11665099,1.3502699269609,953,879,25,26322.20408163,2019-05-10,2019-05-10
2019-05-09,2.55974308,1.2929897410845,1408,1303,35,30157.89705882,2019-05-09,2019-05-09
2019-05-08,3.34376957,1.3233344381836,1104,1005,25,21139.67164179,2019-05-08,2019-05-08
2019-05-07,5.05675955,1.14,156,135,5,11976.3125,2019-05-07,2019-05-07
2019-05-06,6.52173913,1.1629213483146,58,45,7,12321.16666667,2019-05-06,2019-05-06
2019-05-05,4.17177914,1.1880466472303,103,80,8,8104.85714286,2019-05-05,2019-05-05
2019-05-04,2.44444444,1.1826544021025,278,240,11,8164.29166667,2019-05-04,2019-05-04
2019-05-03,4.09982175,1.124248496994,223,194,6,6476.2173913,2019-05-03,2019-05-03
