"Tên nhóm quảng cáo","Quốc gia","Tên chiến dịch","Số người tiếp cận được","Số lần hiển thị","Tần suất","Loại kết quả","Kết quả","Quan hệ kết nối mới qua tin nhắn","Chi phí trên mỗi kết quả","Số tiền đã chi tiêu (VND)","CPM (Chi phí trên mỗi 1.000 lần hiển thị)","Số lượt click vào liên kết","CPC (Chi phí trên mỗi lượt click vào liên kết)","CTR (Tỷ lệ nhấp vào liên kết)","Lượt phát video trong tối thiểu 3 giây","Lượt phát 25% thời lượng video","Lượt phát 50% thời lượng video","Lượt phát 75% thời lượng video","Lượt phát 95% thời lượng video","Lượt phát 100% thời lượng video","Lượt phát video","Thời gian phát video trung bình","Bắt đầu báo cáo","Kết thúc báo cáo"
"ETF Diamond - VN HCM",VN,"ETF Diamond",3505,5137,1.4656205420827,,,,,370909,72203.4261242,20,18545.45,0.38933229511388,353,29,21,11,5,5,2873,2,2020-04-01,2020-04-11
"ETF Diamond - Foreigner OutOfCountry",TH,"ETF Diamond",4898,7682,1.5683952633728,,,,,349731,45526.03488675,62,5640.82258065,0.80708148919552,816,59,26,14,8,4,5462,2,2020-04-01,2020-04-11
"ETF Diamond - Foreigner Test2",VN,"ETF Diamond",3689,5648,1.5310382217403,"Lần bắt đầu cuộc trò chuyện qua tin nhắn",4,4,77199.25,308797,54673.6898017,33,9357.48484848,0.5842776203966,384,38,24,18,11,7,3206,2,2020-04-01,2020-04-11
"ETF Diamond - Bản sao 2",VN,"ETF Diamond",5303,9628,1.8155760890062,"Lần bắt đầu cuộc trò chuyện qua tin nhắn",2,2,153705,307410,31928.74948068,54,5692.77777778,0.56086414624013,567,63,39,33,20,18,5335,2,2020-04-01,2020-04-11
"ETF Diamond - Foreigner Test1",VN,"ETF Diamond - Engagement",6236,10775,1.7278704297627,"Lượt tương tác với bài viết",1673,,72.926479378362,122006,11323.06264501,6,20334.33333333,0.055684454756381,1657,257,133,88,70,67,9589,3,2020-04-01,2020-04-11
"ETF Diamond - VN HCM",VN,"ETF Diamond - Engagement",7722,10254,1.3278943278943,"Lượt tương tác với bài viết",1388,,85.952449567723,119302,11634.6791496,2,59651,0.019504583577141,1377,235,139,113,98,98,8908,3,2020-04-01,2020-04-11
"ETF Diamond - Foreigner Test2",VN,"ETF Diamond - Video view",2327,2542,1.0923936398797,ThruPlay,1989,2,40.035696329814,79631,31326.12116444,6,13271.83333333,0.2360346184107,2173,4,3,3,3,3,2503,13,2020-04-01,2020-04-11
"ETF Diamond - Foreigner OutOfCountry",KR,"ETF Diamond",380,594,1.5631578947368,"Lần bắt đầu cuộc trò chuyện qua tin nhắn",1,1,77139,77139,129863.63636364,5,15427.8,0.84175084175084,91,16,8,6,2,2,483,4,2020-04-01,2020-04-11
"ETF Diamond - Foreigner Test1",VN,"ETF Diamond - Video view",1854,2273,1.2259978425027,ThruPlay,1808,,38.835730088496,70215,30890.89309283,8,8776.875,0.35195776506819,1961,2,1,,,,2236,13,2020-04-01,2020-04-11
"ETF Diamond - Foreigner Test2",VN,"ETF Diamond - Engagement",3103,4696,1.5133741540445,"Lượt tương tác với bài viết",771,,76.496757457847,58979,12559.41226576,2,29489.5,0.042589437819421,767,120,74,54,43,40,4202,3,2020-04-01,2020-04-11
"ETF Diamond - Foreigner OutOfVN",TH,"ETF Diamond - Engagement",2493,2985,1.1973525872443,"Lượt tương tác với bài viết",682,,71.303519061584,48629,16291.12227806,5,9725.8,0.16750418760469,670,72,35,24,22,23,2664,4,2020-04-01,2020-04-11
"ETF Diamond - VN HCM",VN,"ETF Diamond - Video view",973,982,1.0092497430627,ThruPlay,779,,40.279845956354,31378,31953.15682281,,,,855,2,1,1,,,971,14,2020-04-01,2020-04-11
"ETF Diamond - Foreigner OutOfVN",KR,"ETF Diamond - Engagement",10,10,1,,,,,87,8700,,,,,,,,,,9,1,2020-04-01,2020-04-11
