Ngày,"Khách hàng tiềm năng","Cảm xúc về bài viết","Lượt tương tác với bài viết","Số tiền đã chi tiêu (VND)","Số lượt click vào liên kết","Số lần hiển thị","Số người tiếp cận được","Tần suất","Lượt phát 25% thời lượng video","Bắt đầu báo cáo","Kết thúc báo cáo"
2019-11-10,4,12,680,842491,32,9562,6086,1.571146894512,107,2019-11-10,2019-11-10
2019-11-09,1,22,962,907887,42,10344,7034,1.4705715098095,130,2019-11-09,2019-11-09
2019-11-08,3,26,886,758364,58,8725,5732,1.5221563154222,145,2019-11-08,2019-11-08
2019-10-14,6,6,617,221761,55,5497,5162,1.0648973266176,161,2019-10-14,2019-10-14
2019-10-13,13,39,3170,1304547,359,34825,25344,1.3740924873737,726,2019-10-13,2019-10-13
2019-10-12,13,35,3039,1248114,318,32472,24504,1.3251714005877,736,2019-10-12,2019-10-12
2019-10-11,13,48,2870,1255113,332,24661,17956,1.3734127868122,733,2019-10-11,2019-10-11
2019-10-10,17,57,2047,950128,291,20149,15736,1.2804397559736,482,2019-10-10,2019-10-10
2019-09-09,2,15,1111,1054258,57,17386,12596,1.3802794537949,157,2019-09-09,2019-09-09
2019-09-08,3,34,1375,1088285,69,18993,13632,1.3932658450704,229,2019-09-08,2019-09-08
2019-09-07,7,62,2115,1500891,211,31731,22384,1.4175750536097,324,2019-09-07,2019-09-07
2019-09-06,3,7,414,410027,132,15607,11576,1.3482204561161,52,2019-09-06,2019-09-06
2019-08-21,2,22,262,687827,57,8826,6140,1.4374592833876,40,2019-08-21,2019-08-21
2019-08-20,8,27,561,986884,61,12527,8936,1.4018576544315,120,2019-08-20,2019-08-20
2019-08-19,4,41,574,1203376,56,14751,9208,1.6019765421373,122,2019-08-19,2019-08-19
2019-08-18,9,37,779,1039056,67,13066,9112,1.4339332748025,197,2019-08-18,2019-08-18
2019-08-17,7,21,596,950653,68,10478,7364,1.4228680065182,154,2019-08-17,2019-08-17
2019-08-16,17,50,589,975990,71,10759,7330,1.4678035470668,133,2019-08-16,2019-08-16
2019-08-15,8,35,375,495173,44,5645,4577,1.2333406161241,97,2019-08-15,2019-08-15
2019-08-11,7,17,752,878634,62,5305,3872,1.3700929752066,184,2019-08-11,2019-08-11
2019-08-10,6,18,496,590752,44,3678,3146,1.1691036236491,127,2019-08-10,2019-08-10
2019-08-04,4,8,488,449878,28,4401,3438,1.2801047120419,91,2019-08-04,2019-08-04
2019-08-03,4,9,575,550791,32,5199,4111,1.2646558015081,125,2019-08-03,2019-08-03
2019-08-02,5,28,750,512486,39,6090,4582,1.3291139240506,145,2019-08-02,2019-08-02
2019-08-01,3,15,680,537679,43,5411,4066,1.3307919331038,122,2019-08-01,2019-08-01
2019-07-31,7,17,509,693044,34,6156,4368,1.4093406593407,104,2019-07-31,2019-07-31
2019-07-30,4,16,700,815152,63,8501,5952,1.4282594086022,132,2019-07-30,2019-07-30
2019-07-29,8,26,841,723070,44,7582,5182,1.4631416441528,172,2019-07-29,2019-07-29
2019-07-28,14,50,1393,1007222,82,10493,7045,1.4894251242016,281,2019-07-28,2019-07-28
2019-07-27,16,44,1382,989449,104,9893,7054,1.4024666855685,316,2019-07-27,2019-07-27
2019-07-26,18,50,1428,1035327,100,10246,6868,1.4918462434479,305,2019-07-26,2019-07-26
2019-07-25,26,54,1368,846112,110,8233,5577,1.4762417070109,356,2019-07-25,2019-07-25
2019-07-23,4,14,684,1126084,27,6275,4976,1.2610530546624,152,2019-07-23,2019-07-23
2019-07-22,7,30,905,1132130,47,8173,6490,1.2593220338983,203,2019-07-22,2019-07-22
2019-07-21,3,15,293,285716,15,2493,1908,1.3066037735849,61,2019-07-21,2019-07-21
2019-07-20,3,11,229,254187,16,1910,1553,1.2298776561494,44,2019-07-20,2019-07-20
2019-07-19,2,29,469,519932,17,4168,3139,1.327811404906,82,2019-07-19,2019-07-19
2019-05-13,5,11,774,1060875,21,6666,5214,1.2784810126582,84,2019-05-13,2019-05-13
2019-05-12,15,25,1580,2148238,75,13629,9647,1.4127708095781,207,2019-05-12,2019-05-12
2019-05-11,12,27,995,1234102,47,8289,6365,1.3022780832679,130,2019-05-11,2019-05-11
2019-05-10,9,25,953,1289788,49,8504,6298,1.3502699269609,132,2019-05-10,2019-05-10
2019-05-09,14,35,1408,2050737,68,10587,8188,1.2929897410845,181,2019-05-09,2019-05-09
2019-05-08,18,25,1104,1416358,67,7985,6034,1.3233344381836,165,2019-05-08,2019-05-08
2019-05-07,5,5,156,191621,16,969,850,1.14,30,2019-05-07,2019-05-07
2019-05-05,4,8,103,113468,14,815,686,1.1880466472303,22,2019-05-05,2019-05-05
2019-05-04,2,11,278,195943,24,1800,1522,1.1826544021025,51,2019-05-04,2019-05-04
2019-05-03,4,6,223,148953,23,1122,998,1.124248496994,54,2019-05-03,2019-05-03
